측정ID,시각,권역,LCZ,name,위도,경도,표고_m,Ta,RH,v,Tmrt,PET,Ts,태양고도,sun,SVF,TVF,BVF,사진,width_m,hw_ratio,H_m,H_default,geo_SVF,geo_GVI,geo_BVI
20260826_보수동_01,2026-08-26 13:12:00,보수동,2,Bosu,35.1054,129.0289,99.0,32.8,60.0,1.2,45.74,39.08,47.31,63.2,0,0.4749,0.0003,0.5169,238,14.3,0.76,10.87,0,0.5817,0.0182,0.5079
20260826_보수동_02,2026-08-26 13:09:00,보수동,2,Bosu,35.106,129.03,86.0,32.0,61.7,0.5,41.29,38.21,45.47,63.4,0,0.5019,0.0021,0.4418,237,6.7,1.49,9.98,0,0.5955,0.0203,0.5644
20260826_보수동_03,2026-08-26 13:04:00,보수동,2,Bosu,35.1068,129.0311,94.0,34.0,55.5,1.1,47.94,40.99,53.26,63.8,0,0.591,0.0009,0.341,236,20.0,0.65,13.0,0,0.7926,0.0205,0.3992
20260826_보수동_04,2026-08-26 13:01:00,보수동,2,Bosu,35.1065,129.0312,68.0,33.6,57.3,0.0,40.01,40.59,53.14,64.0,0,0.4419,0.0858,0.4563,235,16.0,0.81,12.96,0,0.6131,0.015,0.5718
20260826_보수동_05,2026-08-26 12:57:00,보수동,2,Bosu,35.106,129.0309,68.0,33.5,62.0,0.7,51.52,43.86,50.16,64.3,1,0.3781,0.0177,0.5677,234,10.1,1.09,11.01,1,0.729,0.0,0.533
20260826_보수동_06,2026-08-26 12:54:00,보수동,2,Bosu,35.1055,129.0305,64.0,33.0,60.0,0.5,61.37,49.06,51.14,64.5,1,0.4761,0.0,0.4937,233,11.9,0.71,8.45,1,0.6609,0.0016,0.5459
20260826_보수동_07,2026-08-26 12:49:00,보수동,2,Bosu,35.105,129.0307,64.0,33.4,60.0,0.7,53.93,44.67,55.0,64.8,1,0.4834,0.0517,0.4392,232,29.4,0.49,14.41,0,0.695,0.0303,0.4326
20260826_보수동_08,2026-08-26 12:44:00,보수동,2,Bosu,35.1042,129.0293,52.0,36.0,54.0,0.0,49.71,47.13,50.68,65.0,1,0.6092,0.1617,0.209,230,45.6,0.51,23.26,1,0.6743,0.1394,0.2251
20260826_보수동_09,2026-08-26 12:40:00,보수동,2,Bosu,35.1047,129.029,63.0,34.7,54.4,0.7,58.69,47.67,56.02,65.1,1,0.4256,0.376,0.185,229,37.1,0.31,11.5,0,0.5477,0.2405,0.2442
20260826_보수동_10,2026-08-26 12:35:00,보수동,2,Bosu,35.1046,129.0281,66.0,34.1,57.0,0.5,54.23,46.05,53.12,65.2,1,0.4709,0.0945,0.4117,228,17.1,1.63,27.87,0,0.5975,0.0755,0.4767
20260826_보수동_11,2026-08-26 12:28:00,보수동,2,Bosu,35.1042,129.0273,51.0,34.5,54.0,1.2,62.84,47.6,53.17,65.3,1,0.5208,0.0144,0.4613,226,8.7,0.8,6.96,1,0.6952,0.0261,0.5226
20260826_보수동_12,2026-08-26 12:24:00,보수동,2,Bosu,35.1051,129.0274,72.0,35.9,49.0,0.0,51.44,47.94,55.56,65.3,1,0.638,0.003,0.3581,225,11.4,0.87,9.92,1,0.9026,0.028,0.383
20260826_보수동_13,2026-08-26 12:19:00,보수동,2,Bosu,35.1054,129.0289,99.0,34.5,52.0,0.5,52.96,45.21,54.94,65.3,1,0.4809,0.0034,0.4759,223,14.3,0.76,10.87,0,0.5817,0.0182,0.5079
20260826_보수동_14,2026-08-26 12:16:00,보수동,2,Bosu,35.1058,129.0287,99.0,35.5,50.9,0.4,53.17,46.61,54.55,65.2,1,0.8293,0.0484,0.1121,222,18.5,0.51,9.44,0,0.845,0.0215,0.3867
20260826_보수동_15,2026-08-26 12:09:00,보수동,2,Bosu,35.1065,129.0294,108.0,33.6,57.0,0.4,55.91,47.02,54.58,65.0,1,0.8511,0.0347,0.0352,221,8.2,0.74,6.07,0,0.8939,0.0344,0.2954
20260826_보수동_16,2026-08-26 12:05:00,보수동,2,Bosu,35.1074,129.0299,130.0,33.0,54.0,0.5,61.87,48.69,61.1,64.9,1,0.6377,0.0114,0.2501,220,24.3,0.45,10.94,1,0.811,0.0398,0.3358
20260825_용호제1동_01,2026-08-25 12:56:00,용호제1동,4,Yongho 1,35.1247,129.1107,4.0,36.0,48.0,0.6,57.6,48.04,57.81,64.7,1,0.5568,0.0099,0.4147,219,11.0,0.77,8.47,0,0.5798,0.0042,0.4828
20260825_용호제1동_02,2026-08-25 12:51:00,용호제1동,4,Yongho 1,35.1242,129.11,6.0,35.2,50.0,0.8,66.67,51.21,57.04,65.0,1,0.7453,0.0001,0.2379,218,18.2,0.59,10.74,0,0.9022,0.0178,0.3186
20260825_용호제1동_03,2026-08-25 12:46:00,용호제1동,4,Yongho 1,35.1232,129.109,9.0,34.5,50.6,0.6,53.7,44.97,57.78,65.2,1,0.6485,0.0,0.19,215,11.4,0.76,8.66,0,0.7476,0.0197,0.411
20260825_용호제1동_04,2026-08-25 12:43:00,용호제1동,4,Yongho 1,35.1239,129.1091,6.0,34.6,47.7,0.7,58.61,46.71,51.55,65.3,1,0.5255,0.0,0.4717,214,6.5,1.34,8.71,0,0.608,0.0075,0.5455
20260825_용호제1동_05,2026-08-25 12:41:00,용호제1동,4,Yongho 1,35.1243,129.1092,6.0,34.1,51.0,0.7,61.71,48.17,56.72,65.4,1,0.6791,0.0,0.2998,213,14.7,0.58,8.53,0,0.6781,0.0037,0.5374
20260825_용호제1동_06,2026-08-25 12:36:00,용호제1동,4,Yongho 1,35.1233,129.1098,6.0,35.2,49.0,1.0,67.36,50.57,54.35,65.5,1,0.7072,0.0,0.2671,212,12.5,0.55,6.88,0,0.7382,0.0066,0.4247
20260825_용호제1동_07,2026-08-25 12:34:00,용호제1동,4,Yongho 1,35.1229,129.1097,6.0,37.0,50.6,0.5,59.68,50.89,51.18,65.6,1,0.7258,0.0067,0.2563,211,29.2,0.29,8.47,0,0.8161,0.0352,0.323
