측정ID,사진,시간차초,SVF,TVF,BVF,OTH,GVI_pix,SVF_0914,GVI_0914,BVI_0914,볕,비고
20260825_용호제1동_14,201,25,0.4824,0.0026,0.5115,0.0035,0.0044,0.5106,0.0054,0.6173,1,
20260825_용호제1동_15,200,113,0.7104,0.0,0.2777,0.0119,0.0002,0.752,0.0001,0.3949,0,
20260826_보수동_01,238,19,0.4749,0.0003,0.5169,0.0079,0.0061,0.5027,0.0076,0.6107,0,
20260826_보수동_02,237,55,0.5019,0.0021,0.4418,0.0543,0.0009,0.5312,0.001,0.531,0,
20260826_보수동_03,236,52,0.591,0.0009,0.341,0.0671,0.0013,0.6256,0.0016,0.4291,0,
20260826_보수동_04,235,64,0.4419,0.0858,0.4563,0.016,0.0451,0.4678,0.0551,0.5508,0,
20260826_보수동_05,234,70,0.3781,0.0177,0.5677,0.0366,0.0046,0.4002,0.0058,0.6921,1,
20260826_보수동_06,233,131,0.4761,0.0,0.4937,0.0302,0.0,0.5039,0.0,0.5679,1,
20260826_보수동_07,232,90,0.4834,0.0517,0.4392,0.0257,0.0482,0.5117,0.0588,0.4854,1,
20260826_보수동_08,230,122,0.6092,0.1617,0.209,0.02,0.1104,0.6449,0.1361,0.2511,1,
20260826_보수동_09,229,36,0.4256,0.376,0.185,0.0134,0.2296,0.4505,0.2811,0.2515,1,
20260826_보수동_10,228,56,0.4709,0.0945,0.4117,0.0229,0.0556,0.4984,0.0677,0.4764,1,
20260826_보수동_11,226,100,0.5208,0.0144,0.4613,0.0035,0.0023,0.5513,0.0028,0.584,1,
20260826_보수동_12,225,110,0.638,0.003,0.3581,0.0009,0.0007,0.6753,0.0009,0.4819,1,
20260826_보수동_13,223,44,0.4809,0.0034,0.4759,0.0398,0.0007,0.509,0.0011,0.5249,1,
20260826_보수동_14,222,114,0.8293,0.0484,0.1121,0.0101,0.0244,0.8779,0.0298,0.2006,1,
20260826_보수동_15,221,81,0.8511,0.0347,0.0352,0.079,0.1091,0.9009,0.1335,0.0407,1,
20260826_보수동_16,220,53,0.6377,0.0114,0.2501,0.1008,0.0179,0.675,0.022,0.3125,1,
20260826_부암제1동_01,258,40,0.3499,0.0,0.6108,0.0393,0.0,0.3703,0.0,0.7007,0,
