lat,lon,n_records,svf,n_buildings,street_width_m,hw_ratio,snapped_m,폭등급
35.2148,129.0993,1,0.662,382,12.8,0.77,0.0,큰길(12m+)
35.2145,129.0997,1,0.56,426,7.1,0.98,0.0,혼합골목(6-12m)
35.214,129.0998,1,0.614,370,7.4,0.76,0.0,혼합골목(6-12m)
35.2135,129.0999,1,0.853,269,30.1,0.28,0.0,큰길(12m+)
35.2131,129.1,1,0.787,194,43.2,0.68,0.0,큰길(12m+)
35.2126,129.1,1,0.769,102,23.9,0.41,0.0,큰길(12m+)
35.2306,129.0818,1,0.93,10,72.7,0.04,0.0,큰길(12m+)
35.2308,129.0841,1,0.627,70,10.9,0.64,1.2,혼합골목(6-12m)
35.2309,129.0841,1,0.937,67,25.8,0.22,0.0,큰길(12m+)
35.2305,129.084,3,0.655,83,11.6,0.6,0.0,혼합골목(6-12m)
35.2303,129.0845,1,0.553,113,11.7,0.72,0.0,혼합골목(6-12m)
35.23,129.0839,2,0.478,100,4.4,1.26,0.0,보행골목(<6m)
35.2297,129.0838,4,0.473,95,6.6,1.27,1.5,혼합골목(6-12m)
35.2298,129.0828,6,,0,,,,개방
35.1825,129.1031,19,0.332,37,27.8,2.41,0.0,큰길(12m+)
35.1824,129.104,1,0.754,40,32.2,1.0,0.0,큰길(12m+)
35.1822,129.1041,2,0.873,58,45.1,0.71,0.0,큰길(12m+)
35.1822,129.1045,1,0.673,72,12.3,0.46,0.0,큰길(12m+)
35.1823,129.105,2,0.949,72,48.6,0.09,0.0,큰길(12m+)
35.1825,129.1055,1,0.963,69,60.3,0.07,0.0,큰길(12m+)
35.1827,129.106,1,0.888,60,34.8,0.44,0.0,큰길(12m+)
35.1831,129.107,1,0.873,64,47.7,0.12,0.0,큰길(12m+)
35.1841,129.1072,1,0.973,52,25.5,0.16,0.0,큰길(12m+)
35.185,129.1071,1,0.95,58,29.3,0.19,0.0,큰길(12m+)
35.1859,129.1071,1,0.614,84,26.7,0.63,0.0,큰길(12m+)
35.1861,129.1071,1,0.762,84,29.2,0.19,0.0,큰길(12m+)
35.1864,129.1071,2,0.847,83,26.2,0.21,0.0,큰길(12m+)
35.1866,129.1071,1,0.852,86,29.6,0.19,0.0,큰길(12m+)
35.1868,129.1071,2,0.746,88,26.4,0.32,0.0,큰길(12m+)
35.1871,129.1071,1,0.78,83,25.6,0.22,0.0,큰길(12m+)
35.1873,129.1071,1,0.814,76,26.9,0.21,0.0,큰길(12m+)
35.1875,129.1071,1,0.848,70,28.8,0.39,0.0,큰길(12m+)
35.1878,129.1069,2,0.93,85,41.9,0.13,0.0,큰길(12m+)
35.1876,129.1064,1,0.758,73,8.7,0.64,0.0,혼합골목(6-12m)
35.1878,129.106,1,0.951,88,30.9,0.18,0.0,큰길(12m+)
35.1878,129.1055,1,0.911,81,32.1,0.26,0.0,큰길(12m+)
35.1877,129.1052,1,0.897,84,34.1,0.16,0.0,큰길(12m+)
35.1878,129.105,2,0.954,79,34.2,0.12,0.0,큰길(12m+)
35.1876,129.1046,2,0.615,84,22.0,0.25,1.5,큰길(12m+)
35.1876,129.1045,1,0.917,83,22.0,0.25,0.0,큰길(12m+)
35.1876,129.1041,2,0.766,94,27.8,0.2,0.0,큰길(12m+)
35.1864,129.1023,1,0.918,70,61.7,0.11,0.0,큰길(12m+)
35.1862,129.1028,2,0.921,66,60.9,0.23,0.0,큰길(12m+)
35.1855,129.1036,2,0.775,34,70.4,0.66,0.0,큰길(12m+)
35.1848,129.104,3,0.512,18,48.2,0.78,0.0,큰길(12m+)
35.1844,129.1039,2,0.301,23,18.9,2.0,0.0,큰길(12m+)
35.183,129.104,4,0.554,18,40.0,0.95,0.0,큰길(12m+)
35.2313,129.0799,7,0.803,16,21.2,0.13,1.4,큰길(12m+)
35.2284,129.084,1,0.782,35,48.7,0.63,0.0,큰길(12m+)
35.186,129.1016,1,0.897,66,57.8,0.1,0.0,큰길(12m+)
35.1844,129.1026,2,0.505,28,14.3,2.64,0.0,큰길(12m+)
35.1823,129.1029,1,0.509,50,18.7,1.79,4.3,큰길(12m+)
35.1827,129.1037,3,0.214,25,18.8,3.72,2.1,큰길(12m+)
35.1815,129.1024,2,0.908,77,26.6,0.32,0.0,큰길(12m+)
35.1817,129.1024,1,,0,,,,개방
35.1831,129.1031,6,0.235,22,32.0,2.14,0.0,큰길(12m+)
